LOTE;VALOR;PESO;DESCRICAO
01997-6;3.049,00 ;24,19;" UM COLAR, UM PENDENTE, - RELÓGIO (MARCA INDEFINIDA, NÃO FUNCIONANDO), DE: OURO; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 24,19G (VINTE E QUATRO GRAMAS E DEZENOVE CENTIGRAMAS) R$ 3.049,00 
"
02007-9;7.094,00 ;43,31;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 43,31G (QUARENTA E TRES GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 7.094,00 
"
02008-7;7.363,00 ;44,96;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 44,96G (QUARENTA E QUATRO GRAMAS E NOVENTA E SEIS CENTIGRAMAS) R$ 7.363,00 
"
02010-9; 710,00 ;5,42;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,42G (CINCO GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 710,00 
"
02017-6;3.500,00 ;30,52;" UM RELÓGIO PULSEIRAMARCA SIVEL - NÃO FUNCIONA, DE: OURO, METAL NÃO NOBRE; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 30,52G (TRINTA GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 3.500,00 
"
02019-2; 291,00 ;2,26;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 2,26G (DOIS GRAMAS E VINTE E SEIS CENTIGRAMAS) R$ 291,00 
"
02020-6;3.011,00 ;19,45;" DUAS PULSEIRASCOM PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 19,45G (DEZENOVE GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 3.011,00 
"
02021-4; 757,00 ;4,85;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,85G (QUATRO GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 757,00 
"
02025-7;4.289,00 ;29,85;" QUATRO PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 29,85G (VINTE E NOVE GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 4.289,00 
"
02036-2;1.935,00 ;13,62;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 13,62G (TREZE GRAMAS E SESSENTA E DOIS CENTIGRAMAS) R$ 1.935,00 
"
02038-9; 167,00 ;1,15;" DOIS PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 1,15G (UM GRAMAS E QUINZE CENTIGRAMA) R$ 167,00 
"
02040-0;2.570,00 ;17,65;" DUAS ALIANÇAS, DE: OURO; CONTÉM: marfim; CONSTAM: amolgada(s), inscrições, PESO LOTE: 17,65G (DEZESSETE GRAMAS E SESSENTA E CINCO CENTIGRAMAS) R$ 2.570,00 
"
02041-9;2.084,00 ;14,30;" DOIS BRINCOS, DOIS COLARES, DE: OURO; CONSTAM: amolgada(s), monograma, PESO LOTE: 14,30G (QUATORZE GRAMAS E TRINTA CENTIGRAMAS) R$ 2.084,00 
"
02042-7;1.031,00 ;10,35;" UM PENDENTE, UMA PULSEIRA, DE: OURO; CONTÉM: marfim; CONSTAM: amolgada(s), PESO LOTE: 10,35G (DEZ GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 1.031,00 
"
02051-6; 997,00 ;7,49;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), defeito(s), PESO LOTE: 7,49G (SETE GRAMAS E QUARENTA E NOVE CENTIGRAMAS) R$ 997,00 
"
02052-4; 697,00 ;4,91;" DOIS ANÉIS, UM COLAR, DE: OURO; CONSTAM: amassada(s), partida(s), PESO LOTE: 4,91G (QUATRO GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 697,00 
"
02053-2;1.117,00 ;8,45;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 8,45G (OITO GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 1.117,00 
"
02055-9;2.315,00 ;16,12;" DUAS ALIANÇAS, UM BROCHE, DE: OURO; CONSTAM: amolgada(s), falta, inscrições, PESO LOTE: 16,12G (DEZESSEIS GRAMAS E DOZE CENTIGRAMAS) R$ 2.315,00 
"
02057-5;1.810,00 ;11,30;" UM ANEL, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 11,30G (ONZE GRAMAS E TRINTA CENTIGRAMAS) R$ 1.810,00 
"
02065-6; 282,00 ;1,95;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), incompleta(s), partida(s), PESO LOTE: 1,95G (UM GRAMAS E NOVENTA E CINCO CENTIGRAMA) R$ 282,00 
"
02067-2; 208,00 ;1,47;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 1,47G (UM GRAMAS E QUARENTA E SETE CENTIGRAMA) R$ 208,00 
"
02070-2;1.355,00 ;10,32;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 10,32G (DEZ GRAMAS E TRINTA E DOIS CENTIGRAMAS) R$ 1.355,00 
"
02090-7;1.236,00 ;8,10;" UM COLAR, DE: OURO, PESO LOTE: 8,10G (OITO GRAMAS E DEZ CENTIGRAMAS) R$ 1.236,00 
"
02120-2;5.489,00 ;35,36;" QUATRO PULSEIRAS(SEGURANÇA METAL NAO NOBRE), DE: OURO, OURO BRANCO, PESO LOTE: 35,36G (TRINTA E CINCO GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 5.489,00 
"
02121-0;5.607,00 ;37,49;" UM COLAR, UMA PULSEIRA, (SEG METAL NAO NOBRE), DE: OURO; CONSTAM: amassada(s), PESO LOTE: 37,49G (TRINTA E SETE GRAMAS E QUARENTA E NOVE CENTIGRAMAS) R$ 5.607,00 
"
02128-8;1.015,00 ;7,73;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: defeito(s), incompleta(s), partida(s), PESO LOTE: 7,73G (SETE GRAMAS E SETENTA E TRES CENTIGRAMAS) R$ 1.015,00 
"
02135-0; 166,00 ;1,19;" UM ANEL, DE: OURO, PESO LOTE: 1,19G (UM GRAMAS E DEZENOVE CENTIGRAMA) R$ 166,00 
"
02136-9;3.760,00 ;25,64;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), defeito(s), (FECHO), PESO LOTE: 25,64G (VINTE E CINCO GRAMAS E SESSENTA E QUATRO CENTIGRAMAS) R$ 3.760,00 
"
02150-4;1.174,00 ;7,72;" UM ANEL, UMA PULSEIRA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 7,72G (SETE GRAMAS E SETENTA E DOIS CENTIGRAMAS) R$ 1.174,00 
"
02154-7;1.307,00 ;9,00;" DOIS BRINCOS, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 9,00G (NOVE GRAMAS) R$ 1.307,00 
"
02190-3; 536,00 ;3,65;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 3,65G (TRES GRAMAS E SESSENTA E CINCO CENTIGRAMAS) R$ 536,00 
"
02191-1;3.481,00 ;25,20;" UM COLAR, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 25,20G (VINTE E CINCO GRAMAS E VINTE CENTIGRAMAS) R$ 3.481,00 
"
02209-8;4.982,00 ;32,50;" UM COLAR, DE: OURO, PESO LOTE: 32,50G (TRINTA E DOIS GRAMAS E CINQUENTA CENTIGRAMAS) R$ 4.982,00 
"
02213-6; 641,00 ;4,39;" DOIS ESCAPULARIO, DE: OURO, PESO LOTE: 4,39G (QUATRO GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 641,00 
"
02214-4; 327,00 ;2,00;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 2,00G (DOIS GRAMAS) R$ 327,00 
"
02230-6;1.222,00 ;9,33;" UMA ALIANÇA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 9,33G (NOVE GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 1.222,00 
"
02232-2;;16,52;" UM ANEL, DOIS BRINCOS, DE: OURO, PESO LOTE: 16,52G (DEZESSEIS GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 2.412,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 38 de 73 
"
02234-9; 717,00 ;5,47;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 5,47G (CINCO GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 717,00 
"
02243-8;1.350,00 ;9,64;" UM COLARCOM PENDENTE, DOIS PENDENTES, UMA PULSEIRA, DE: OURO; CONTÉM: esmalte; CONSTAM: inscrições, NOME NO COLAR, PESO LOTE: 9,64G (NOVE GRAMAS E SESSENTA E QUATRO CENTIGRAMAS) R$ 1.350,00 
"
02251-9; 292,00 ;2,23;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,23G (DOIS GRAMAS E VINTE E TRES CENTIGRAMAS) R$ 292,00 
"
02263-2; 558,00 ;3,82;" DOIS COLARES, DOIS PENDENTES, DE: OURO, PESO LOTE: 3,82G (TRES GRAMAS E OITENTA E DOIS CENTIGRAMAS) R$ 558,00 
"
02266-7; 495,00 ;3,39;" DOIS BRINCOS, UM COLAR, DE: OURO, PESO LOTE: 3,39G (TRES GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 495,00 
"
02267-5;1.900,00 ;14,50;" UM COLAR, UMA PULSEIRA, DE: OURO; CONSTAM: defeito(s), partida(s), PESO LOTE: 14,50G (QUATORZE GRAMAS E CINQUENTA CENTIGRAMAS) R$ 1.900,00 
"
02275-6;;38,57;" UMA PULSEIRA; CONSTAM: amolgada(s), DE: OURO, PESO LOTE: 38,57G (TRINTA E OITO GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 3.455,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 39 de 73 
"
02315-9;2.008,00 ;13,73;" DOIS COLARES, DE: OURO, OURO BRANCO; CONSTAM: incompleta(s), partida(s), PESO LOTE: 13,73G (TREZE GRAMAS E SETENTA E TRES CENTIGRAMAS) R$ 2.008,00 
"
02370-1;1.604,00 ;10,96;" DOIS BRINCOS, DUAS PULSEIRAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 10,96G (DEZ GRAMAS E NOVENTA E SEIS CENTIGRAMAS) R$ 1.604,00 
"
02372-8;3.399,00 ;22,77;" UM ANEL, UMA PULSEIRA, DE: OURO, PESO LOTE: 22,77G (VINTE E DOIS GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 3.399,00 
"
02439-2;14.809,00 ;106,67;" UM COLAR, DE: OURO, PESO LOTE: 106,67G (CENTO E SEIS GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 14.809,00 
"
02455-4; 673,00 ;4,61;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amassada(s), inscrições, partida(s), PESO LOTE: 4,61G (QUATRO GRAMAS E SESSENTA E UM CENTIGRAMAS) R$ 673,00 
"
02462-7;2.000,00 ;15,45;" UM ANEL, DOIS BRINCOS, DE: OURO; CONSTAM: amassada(s), incompleta(s), partida(s), PESO LOTE: 15,45G (QUINZE GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 2.000,00 
"
02464-3; 760,00 ;5,83;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 5,83G (CINCO GRAMAS E OITENTA E TRES CENTIGRAMAS) R$ 760,00 
"
02466-0;;21,91;" DOIS COLARES, DOIS PENDENTES, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 21,91G (VINTE E UM GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 2.851,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 41 de 73 
"
02473-2; 264,00 ;2,12;" UM PENDENTE, UMA TORNOZELEIRA, UM BRINCO, UM FRAGMENTO, DE BRINCO, DE: OURO; CONSTAM: amassada(s), incompleta(s), partida(s), PESO LOTE: 2,12G (DOIS GRAMAS E DOZE CENTIGRAMAS) R$ 264,00 
"
02479-1; 220,00 ;1,69;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 1,69G (UM GRAMAS E SESSENTA E NOVE CENTIGRAMA) R$ 220,00 
"
02480-5; 855,00 ;6,53;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: defeito(s), PESO LOTE: 6,53G (SEIS GRAMAS E CINQUENTA E TRES CENTIGRAMAS) R$ 855,00 
"
02484-8;1.064,00 ;7,71;" UM COLAR, UMA PULSEIRA, UM PENDENTE, DE: OURO, PESO LOTE: 7,71G (SETE GRAMAS E SETENTA E UM CENTIGRAMAS) R$ 1.064,00 
"
02485-6;1.286,00 ;8,67;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 8,67G (OITO GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 1.286,00 
"
02490-2; 623,00 ;4,71;" UM ANEL, TRES PENDENTES, DUAS PULSEIRAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), inscrições, monograma, PESO LOTE: 4,71G (QUATRO GRAMAS E SETENTA E UM CENTIGRAMAS) R$ 623,00 
"
02509-7; 941,00 ;6,31;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 6,31G (SEIS GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 941,00 
"
02523-2;2.070,00 ;13,70;" UMA ALIANÇA, DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 13,70G (TREZE GRAMAS E SETENTA CENTIGRAMAS) R$ 2.070,00 
"
02561-5;5.392,00 ;37,04;" UM ANEL, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 37,04G (TRINTA E SETE GRAMAS E QUATRO CENTIGRAMAS) R$ 5.392,00 
"
02577-1;1.476,00 ;10,45;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 10,45G (DEZ GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 1.476,00 
"
02604-2; 779,00 ;5,05;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,05G (CINCO GRAMAS E CINCO CENTIGRAMAS) R$ 779,00 
"
02605-0;4.368,00 ;29,10;" UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONSTAM: amassada(s), inscrições, PESO LOTE: 29,10G (VINTE E NOVE GRAMAS E DEZ CENTIGRAMAS) R$ 4.368,00 
"
02617-4;6.637,00 ;50,17;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 50,17G (CINQUENTA GRAMAS E DEZESSETE CENTIGRAMAS) R$ 6.637,00 
"
02621-2;4.614,00 ;32,60;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 32,60G (TRINTA E DOIS GRAMAS E SESSENTA CENTIGRAMAS) R$ 4.614,00 
"
02628-0;;6,47;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 6,47G (SEIS GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 951,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 43 de 73 
"
02675-1;3.269,00 ;27,09;" UM RELÓGIO PULSEIRAMARCA STUDIO, DE: OURO, METAL NÃO NOBRE; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 27,09G (VINTE E SETE GRAMAS E NOVE CENTIGRAMAS) R$ 3.269,00 
"
02683-2;1.045,00 ;7,20;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 7,20G (SETE GRAMAS E VINTE CENTIGRAMAS) R$ 1.045,00 
"
02685-9;1.221,00 ;8,31;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 8,31G (OITO GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 1.221,00 
"
02689-1;2.152,00 ;16,42;" UM COLAR, DOIS PENDENTES, DE: OURO, DOURADO, (FECHO); CONSTAM: amolgada(s), defeito(s), PESO LOTE: 16,42G (DEZESSEIS GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 2.152,00 
"
02692-1; 465,00 ;3,55;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 3,55G (TRES GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 465,00 
"
02693-0;3.281,00 ;22,97;" DUAS ALIANÇAS, DUAS PULSEIRAS, DE: OURO; CONSTAM: amassada(s), inscrições, PESO LOTE: 22,97G (VINTE E DOIS GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 3.281,00 
"
02695-6;1.955,00 ;14,92;" UMA PULSEIRA, UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 14,92G (QUATORZE GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 1.955,00 
"
02708-1; 309,00 ;2,36;" DOIS COLARES, DE: OURO; CONSTAM: defeito(s), partida(s), faltas, PESO LOTE: 2,36G (DOIS GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 309,00 
"
02709-0; 638,00 ;4,87;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,87G (QUATRO GRAMAS E OITENTA E SETE CENTIGRAMAS) R$ 638,00 
"
02711-1; 318,00 ;2,16;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 2,16G (DOIS GRAMAS E DEZESSEIS CENTIGRAMAS) R$ 318,00 
"
02714-6; 907,00 ;6,92;" UM ANEL, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 6,92G (SEIS GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 907,00 
"
02716-2; 199,00 ;1,38;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 1,38G (UM GRAMAS E TRINTA E OITO CENTIGRAMA) R$ 199,00 
"
02722-7;2.099,00 ;22,37;" UMA ALIANÇA, UM RELÓGIO, LONGINES - PARADO - MOSTRADOR MANCHADO - VIDRO MARCADO - COM INSCRIÇÕES E SEM PULSEIRA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 22,37G (VINTE E DOIS GRAMAS E TRINTA E SETE CENTIGRAMAS) R$ 2.099,00 
"
02725-1;1.194,00 ;9,11;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,11G (NOVE GRAMAS E ONZE CENTIGRAMAS) R$ 1.194,00 
"
02730-8;2.092,00 ;15,97;" DOIS ANÉIS, UM PENDENTE, DE: OURO BRANCO, OURO; CONSTAM: amolgada(s), iniciais, inscrições, PESO LOTE: 15,97G (QUINZE GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 2.092,00 
"
02731-6; 588,00 ;3,68;" UM ANEL, DE: OURO, ( 22 K ); CONSTAM: amassada(s), amolgada(s), PESO LOTE: 3,68G (TRES GRAMAS E SESSENTA E OITO CENTIGRAMAS) R$ 588,00 
"
02733-2; 960,00 ;7,33;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 7,33G (SETE GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 960,00 
"
02735-9;1.244,00 ;11,00;" UMA ALIANÇA, DE: OURO, PESO LOTE: 11,00G (ONZE GRAMAS) R$ 1.244,00 
"
02788-0; 677,00 ;5,10;" UM COLAR, UM PENDENTE, UM ANEL, DE: OURO, PESO LOTE: 5,10G (CINCO GRAMAS E DEZ CENTIGRAMAS) R$ 677,00 
"
02804-5;2.361,00 ;16,15;" DOIS BRINCOS, DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 16,15G (DEZESSEIS GRAMAS E QUINZE CENTIGRAMAS) R$ 2.361,00 
"
02855-0; 456,00 ;3,40;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 3,40G (TRES GRAMAS E QUARENTA CENTIGRAMAS) R$ 456,00 
"
02864-9; 234,00 ;1,57;" UM BRINCO, DE: OURO BRANCO, OURO; CONSTAM: incompleta(s), PESO LOTE: 1,57G (UM GRAMAS E CINQUENTA E SETE CENTIGRAMA) R$ 234,00 
"
02883-5;1.798,00 ;42,05;" UM RELÓGIODE BOLSO ULYSSE NARDIN UMA CAPA NÃO FUNCIONA, DE: OURO, PESO LOTE: 42,05G (QUARENTA E DOIS GRAMAS E CINCO CENTIGRAMAS) R$ 1.798,00 
"
02936-0;1.256,00 ;8,50;" DOIS PENDENTES, UMA PULSEIRA, DE: OURO, OURO BRANCO, PESO LOTE: 8,50G (OITO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 1.256,00 
"
02939-4;1.433,00 ;9,60;" DOIS COLARES, DE: OURO, PESO LOTE: 9,60G (NOVE GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.433,00 
"
02940-8; 484,00 ;3,12;" UM ESCAPULARIO, DE: OURO, PESO LOTE: 3,12G (TRES GRAMAS E DOZE CENTIGRAMAS) R$ 484,00 
"
02946-7; 543,00 ;3,55;" UMA ALIANÇA, DE: OURO, PESO LOTE: 3,55G (TRES GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 543,00 
"
02982-3;;43,70;" UMA PULSEIRA, DE: OURO, PESO LOTE: 43,70G (QUARENTA E TRES GRAMAS E SETENTA CENTIGRAMAS) R$ 5.881,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 47 de 73 
"
02997-1; 961,00 ;6,75;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 6,75G (SEIS GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 961,00 
"
03012-0;1.053,00 ;7,08;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 7,08G (SETE GRAMAS E OITO CENTIGRAMAS) R$ 1.053,00 
"
03015-5; 272,00 ;2,08;" UMA ALIANÇA, DE: OURO, OURO BRANCO, PESO LOTE: 2,08G (DOIS GRAMAS E OITO CENTIGRAMAS) R$ 272,00 
"
03023-6;2.641,00 ;17,20;" UMA PULSEIRA, DE: OURO, PESO LOTE: 17,20G (DEZESSETE GRAMAS E VINTE CENTIGRAMAS) R$ 2.641,00 
"
03024-4;2.575,00 ;16,82;" DOIS ANÉIS, UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 16,82G (DEZESSEIS GRAMAS E OITENTA E DOIS CENTIGRAMAS) R$ 2.575,00 
"
03032-5; 758,00 ;5,11;" DOIS BRINCOS, UM COLAR, DOIS PENDENTES, DE: OURO BRANCO, OURO, PESO LOTE: 5,11G (CINCO GRAMAS E ONZE CENTIGRAMAS) R$ 758,00 
"
03035-0;1.053,00 ;6,80;" UMA ALIANÇA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 6,80G (SEIS GRAMAS E OITENTA CENTIGRAMAS) R$ 1.053,00 
"
03054-6; 253,00 ;1,64;" UMA ALIANÇA, DE: OURO, PESO LOTE: 1,64G (UM GRAMAS E SESSENTA E QUATRO CENTIGRAMA) R$ 253,00 
"
03055-4; 371,00 ;2,67;" UM ANEL, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 2,67G (DOIS GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 371,00 
"
03060-0;3.309,00 ;22,92;" QUATRO ALIANÇAS, UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 22,92G (VINTE E DOIS GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 3.309,00 
"
03080-5;1.566,00 ;10,35;" UMA ALIANÇA, DE: OURO, PESO LOTE: 10,35G (DEZ GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 1.566,00 
"
03083-0;7.921,00 ;56,91;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 56,91G (CINQUENTA E SEIS GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 7.921,00 
"
03085-6;7.010,00 ;48,01;" UM COLAR, UMA PULSEIRA, DE: OURO, PESO LOTE: 48,01G (QUARENTA E OITO GRAMA E UM CENTIGRAMAS) R$ 7.010,00 
"
03091-0;6.254,00 ;43,95;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 43,95G (QUARENTA E TRES GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 6.254,00 
"
03092-9;6.499,00 ;45,67;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO, PESO LOTE: 45,67G (QUARENTA E CINCO GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 6.499,00 
"
03095-3;9.497,00 ;69,27;" UMA PULSEIRA, DE: OURO, PESO LOTE: 69,27G (SESSENTA E NOVE GRAMAS E VINTE E SETE CENTIGRAMAS) R$ 9.497,00 
"
03096-1;4.574,00 ;34,36;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 34,36G (TRINTA E QUATRO GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 4.574,00 
"
03129-1; 638,00 ;4,55;" UMA ALIANÇA, UM ANEL, DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,55G (QUATRO GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 638,00 
"
03142-9; 590,00 ;4,44;" UM ANEL, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 4,44G (QUATRO GRAMAS E QUARENTA E QUATRO CENTIGRAMAS) R$ 590,00 
"
03147-0; 549,00 ;3,77;" DOIS BRINCOS, DE: OURO, PESO LOTE: 3,77G (TRES GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 549,00 
"
03150-0;8.304,00 ;57,25;" UMA PULSEIRA, DE: OURO, PESO LOTE: 57,25G (CINQUENTA E SETE GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 8.304,00 
"
03151-8;5.931,00 ;40,42;" QUATRO PULSEIRAS(UMA COM UM PENDENTE FIXO), DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 40,42G (QUARENTA GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 5.931,00 
"
03152-6;5.786,00 ;38,85;" DOIS COLARES, QUATRO BRINCOS, UMA PULSEIRA, (PENDENTE FIXO), UM PENDENTE, UM FRAGMENTO, UMA TORNOZELEIRA, DE: OURO, OURO BRANCO, PESO LOTE: 38,85G (TRINTA E OITO GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 5.786,00 
"
