LOTE;VALOR;PESO;DESCRICAO
00288-7;;4,50;" DOIS BRINCOS, UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,50G (QUATRO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 637,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 7 de 73 
"
00294-1;3.894,00 ;29,70;" UM COLAR, DUAS PULSEIRAS, DE: OURO; CONSTAM: amassada(s), defeito(s), PESO LOTE: 29,70G (VINTE E NOVE GRAMAS E SETENTA CENTIGRAMAS) R$ 3.894,00 
"
00330-1;3.446,00 ;23,60;" UMA ALIANÇA, UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 23,60G (VINTE E TRES GRAMAS E SESSENTA CENTIGRAMAS) R$ 3.446,00 
"
00352-2;1.041,00 ;7,40;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 7,40G (SETE GRAMAS E QUARENTA CENTIGRAMAS) R$ 1.041,00 
"
00358-1;1.828,00 ;14,00;" UM COLAR, DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 14,00G (QUATORZE GRAMAS) R$ 1.828,00 
"
00363-8;1.321,00 ;9,24;" UMA ALIANÇA, DOIS BRINCOS, (UM SEM TARRACHA), DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 9,24G (NOVE GRAMAS E VINTE E QUATRO CENTIGRAMAS) R$ 1.321,00 
"
00378-6;1.370,00 ;10,48;" UM ANEL, DOIS COLARES, UM PENDENTE, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 10,48G (DEZ GRAMAS E QUARENTA E OITO CENTIGRAMAS) R$ 1.370,00 
"
00379-4;1.174,00 ;8,10;" DOIS COLARES, DOIS PENDENTES, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 8,10G (OITO GRAMAS E DEZ CENTIGRAMAS) R$ 1.174,00 
"
00415-4; 521,00 ;3,55;" TRES COLARES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 3,55G (TRES GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 521,00 
"
00442-1;4.903,00 ;34,84;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 34,84G (TRINTA E QUATRO GRAMAS E OITENTA E QUATRO CENTIGRAMAS) R$ 4.903,00 
"
00459-6;3.554,00 ;27,22;" NOVE PULSEIRAS, DE: OURO, OURO BRANCO; CONSTAM: amassada(s), PESO LOTE: 27,22G (VINTE E SETE GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 3.554,00 
"
